Cuenca o Litoral,Grupo de especie,Formato,Especie,Nombre más común de la especie,Categoría comercial
Amazonía,Peces,PezOseo,Acestrorhynchus microlepis,Agujeta,Mediano
Amazonía,Peces,PezOseo,Acestrorhynchus microlepis,Agujeta,Revuelto
Amazonía,Peces,PezOseo,Aequidens diadema,Mojarra fina,Pequeño
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Grande
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Mediano
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Pequeño
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Revuelto
Amazonía,Peces,PezOseo,Ageneiosus inermis,Pavón chancleto,Varios tamaños
Amazonía,Peces,PezOseo,Ageneiosus vittatus,Gata,Pequeño
Amazonía,Peces,PezOseo,Ageneiosus vittatus,Gata,Revuelto
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Grande
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Mediano
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Pequeño
Amazonía,Peces,PezOseo,Aguarunichthys inpai,Simi manchado,Revuelto
Amazonía,Peces,PezOseo,Anodus elongatus,Sardina de punto,Pequeño
Amazonía,Peces,PezOseo,Anodus elongatus,Sardina de punto,Revuelto
Amazonía,Peces,PezOseo,Apteronotus albifrons,Cuchillo caballo,Mediano
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Grande
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Mediano
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Pequeño
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Revuelto
Amazonía,Peces,PezOseo,Arapaima gigas,Pirarucú,Varios tamaños
Amazonía,Peces,PezOseo,Argonectes longiceps,Blanquillo,Mediano
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Grande
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Mediano
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Pequeño
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Revuelto
Amazonía,Peces,PezOseo,Astronotus ocellatus,Oscar,Varios tamaños
Amazonía,Peces,PezOseo,Astyanax maximus,Sardina,Pequeño
Amazonía,Peces,PezOseo,Boulengerella lucius,Agujo,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma capapretum,Valentón,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma capapretum,Valentón,Mediano
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Mediano
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Pequeño
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Varios tamaños
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Mediano
