Nombre científico;Presentación
Parribacus antarticus;Carne
Parribacus antarticus;Entero
Parribacus antarticus;Colas
Parribacus antarticus;Entero enhielado
Parribacus antarticus;Entero fresco
Parribacus antarticus;Cola enhielada
Pugilina morio;Carne
Pugilina morio;Entero enhielado
Pugilina morio;Entero fresco
Strombus pugilis;Carne
Strombus pugilis;Entero enhielado
Strombus pugilis;Entero fresco
Perna viridis;Carne
Perna viridis;Entero
Perna viridis;Concha
Perna viridis;Entero enhielado
Perna viridis;Entero fresco
Paratrygon orinocensis;Carne
Paratrygon orinocensis;Entero
Paratrygon orinocensis;Entero enhielado
Paratrygon orinocensis;Entero fresco
Maiopsis panamensis;Carne
Maiopsis panamensis;Entero
Maiopsis panamensis;Muelas
Maiopsis panamensis;Entero enhielado
Maiopsis panamensis;Entero fresco
Maiopsis panamensis;Pinzas de cangrejo
Donax dentifer;Carne
Donax dentifer;Entero
Donax dentifer;Concha
Donax dentifer;Entero enhielado
Donax dentifer;Entero fresco
Stenocionops ovatus;Carne
Stenocionops ovatus;Entero
Stenocionops ovatus;Muelas
Stenocionops ovatus;Entero enhielado
Stenocionops ovatus;Entero fresco
Stenocionops ovatus;Pinzas de cangrejo
Potamotrygon sp. 1;Carne
Potamotrygon sp. 1;Entero
Potamotrygon sp. 1;Entero enhielado
Potamotrygon sp. 1;Entero fresco
Scyllarides delfosi;Carne
Scyllarides delfosi;Entero
Scyllarides delfosi;Colas
Scyllarides delfosi;Entero enhielado
Scyllarides delfosi;Entero fresco
Scyllarides delfosi;Cola enhielada
Natica unifasciata;Carne
Natica unifasciata;Entero enhielado
Natica unifasciata;Entero fresco
Larkinia grandis;Carne
Larkinia grandis;Entero
Larkinia grandis;Concha
Larkinia grandis;Entero enhielado
Larkinia grandis;Entero fresco
Carcharhinus cerdale;Filete
Carcharhinus cerdale;Tronco
Carcharhinus cerdale;Carne
Carcharhinus cerdale;Aleta
Carcharhinus cerdale;Descabezado
Carcharhinus cerdale;Entero
Carcharhinus cerdale;Eviscerado
Aetobatus laticeps;Carne
Aetobatus laticeps;Entero
Aetobatus laticeps;Entero enhielado
Aetobatus laticeps;Entero fresco
Isurus paucus;Filete
Isurus paucus;Tronco
Isurus paucus;Carne
Isurus paucus;Aleta
Isurus paucus;Descabezado
Isurus paucus;Entero
Isurus paucus;Eviscerado
Pseudobatos spp.;Carne
Pseudobatos spp.;Entero
Pseudobatos spp.;Entero enhielado
Pseudobatos spp.;Entero fresco
Rhincodon typus;Filete
Rhincodon typus;Tronco
Rhincodon typus;Carne
Rhincodon typus;Aleta
Rhincodon typus;Descabezado
Rhincodon typus;Entero
Rhincodon typus;Eviscerado
Styracura pacifica;Carne
Styracura pacifica;Entero
Styracura pacifica;Entero enhielado
Styracura pacifica;Entero fresco
Urotrygon venezuelae;Carne
Urotrygon venezuelae;Entero
Urotrygon venezuelae;Entero enhielado
Urotrygon venezuelae;Entero fresco
Gymnura marmorata;Carne
Gymnura marmorata;Entero
Gymnura marmorata;Entero enhielado
Gymnura marmorata;Entero fresco
Hypanus guttatus;Carne
Hypanus guttatus;Entero
Hypanus guttatus;Entero enhielado
Hypanus guttatus;Entero fresco
Penaeidae;Entero
Penaeidae;Colas
Penaeidae;Entero enhielado
Penaeidae;Entero fresco
Penaeidae;Cola enhielada
Manta spp.;Carne
Manta spp.;Entero
Manta spp.;Entero enhielado
Manta spp.;Entero fresco
Echinorhinus cookei;Filete
Echinorhinus cookei;Tronco
Echinorhinus cookei;Carne
Echinorhinus cookei;Aleta
Echinorhinus cookei;Descabezado
Echinorhinus cookei;Entero
Echinorhinus cookei;Eviscerado
Polymesoda  arctata;Entero
Polymesoda  arctata;Concha
Polymesoda  arctata;Entero enhielado
Polymesoda  arctata;Entero fresco
Triakidae;Filete
Triakidae;Tronco
Triakidae;Carne
Triakidae;Aleta
Triakidae;Descabezado
Triakidae;Entero
Triakidae;Eviscerado
Mustelus spp.;Filete
Mustelus spp.;Tronco
Mustelus spp.;Carne
Mustelus spp.;Aleta
Mustelus spp.;Descabezado
Mustelus spp.;Entero
Mustelus spp.;Eviscerado
Galeorhinus galeus;Filete
Galeorhinus galeus;Tronco
Galeorhinus galeus;Carne
Galeorhinus galeus;Aleta
Galeorhinus galeus;Descabezado
Galeorhinus galeus;Entero
