"","Municipios","Tipo comercializador","Especie","Transformación del producto"
"1","Arauca","Mayorista","Brachyplatystoma rousseauxii","Eviscerado"
"2","Arauca","Mayorista","Hoplias malabaricus","Descamado"
"3","Arauca","Mayorista","Hoplias malabaricus","Eviscerado"
"4","Arauca","Mayorista","Megaleporinus muyscorum","Descabezado"
"5","Arauca","Mayorista","Megaleporinus muyscorum","Descamado"
"6","Arauca","Mayorista","Mylossoma albiscopum","Descamado"
"7","Arauca","Mayorista","Oreochromis spp.","Descamado"
"8","Arauca","Mayorista","Phractocephalus hemioliopterus","Eviscerado"
"9","Arauca","Mayorista","Piaractus brachypomus","Descamado"
"10","Arauca","Mayorista","Piaractus orinoquensis","Descamado"
"11","Arauca","Mayorista","Pimelodus blochii","Eviscerado"
"12","Arauca","Mayorista","Pimelodus grosskopfii","Eviscerado"
"13","Arauca","Mayorista","Pimelodus sp.","Eviscerado"
"14","Arauca","Mayorista","Pinirampus pirinampu","Eviscerado"
"15","Arauca","Mayorista","Plagioscion squamosissimus","Eviscerado"
"16","Arauca","Mayorista","Prochilodus mariae","Descamado"
"17","Arauca","Mayorista","Pseudoplatystoma metaense","Eviscerado"
"18","Arauca","Mayorista","Pseudoplatystoma orinocoense","Eviscerado"
"19","Arauca","Mayorista","Pseudoplatystoma orinocoense","Mariposa"
"20","Arauca","Mayorista","Pseudoplatystoma orinocoense","Posteado"
"21","Arauca","Mayorista","Pseudoplatystoma spp.","Posteado"
"22","Arauca","Mayorista","Pterygoplichthys multiradiatus","Eviscerado"
"23","Arauca","Mayorista","Pygocentrus cariba","Descamado"
"24","Arauca","Minorista","Astronotus ocellatus","Descamado"
"25","Arauca","Minorista","Mylossoma albiscopum","Descamado"
"26","Arauca","Minorista","Oreochromis spp.","Descamado"
"27","Arauca","Minorista","Phractocephalus hemioliopterus","Eviscerado"
"28","Arauca","Minorista","Phractocephalus hemioliopterus","Posteado"
"29","Arauca","Minorista","Piaractus brachypomus","Descamado"
"30","Arauca","Minorista","Piaractus brachypomus","Posteado"
"31","Arauca","Minorista","Piaractus orinoquensis","Descamado"
"32","Arauca","Minorista","Pimelodus albofasciatus","Eviscerado"
"33","Arauca","Minorista","Pimelodus blochii","Eviscerado"
"34","Arauca","Minorista","Pimelodus sp.","Descamado"
"35","Arauca","Minorista","Pimelodus sp.","Eviscerado"
"36","Arauca","Minorista","Pinirampus pirinampu","Eviscerado"
"37","Arauca","Minorista","Prochilodus mariae","Descamado"
"38","Arauca","Minorista","Pseudoplatystoma orinocoense","Descamado"
"39","Arauca","Minorista","Pseudoplatystoma orinocoense","Eviscerado"
"40","Arauca","Minorista","Pseudoplatystoma orinocoense","Mariposa"
"41","Arauca","Minorista","Pseudoplatystoma orinocoense","Posteado"
"42","Arauca","Minorista","Pseudoplatystoma spp.","Posteado"
"43","Arauca","Minorista","Pterygoplichthys multiradiatus","Eviscerado"
"44","Arauca","Minorista","Pygocentrus cariba","Descamado"
"45","Arauca","Minorista","Schizodon scotorhabdotus","Descamado"
"46","Armenia","Mayorista","Arapaima gigas","Recortes"
"47","Armenia","Mayorista","Brotula clarkae","Fileteado"
"48","Armenia","Mayorista","Litopenaeus vannamei","Precocido"
"49","Armenia","Mayorista","Loligo sp.","Anillos"
"50","Armenia","Mayorista","Lutjanidae","Eviscerado"
"51","Armenia","Mayorista","Melongena patula","Sin Transformación"
"52","Armenia","Mayorista","Merluccius sp.","Fileteado"
"53","Armenia","Mayorista","Notarius troschelii","Eviscerado"
"54","Armenia","Mayorista","Octopus sp.","Descabezado"
"55","Armenia","Mayorista","Oncorhynchus mykiss","Cabeza"
"56","Armenia","Mayorista","Oncorhynchus mykiss","Eviscerado"
"57","Armenia","Mayorista","Oreochromis niloticus","Fileteado"
"58","Armenia","Mayorista","Oreochromis spp.","Cabeza"
"59","Armenia","Mayorista","Oreochromis spp.","Eviscerado"
"60","Armenia","Mayorista","Oreochromis spp.","Fileteado"
"61","Armenia","Mayorista","Oreochromis spp.","Recortes"
"62","Armenia","Mayorista","Pangasianodon hypophthalmus","Eviscerado"
"63","Armenia","Mayorista","Pangasianodon hypophthalmus","Fileteado"
"64","Armenia","Mayorista","Pangasianodon hypophthalmus","Posteado"
"65","Armenia","Mayorista","Penaeidae","Precocido"
"66","Armenia","Mayorista","Penaeidae","Sin Transformación"
"67","Armenia","Mayorista","Piaractus brachypomus","Eviscerado"
"68","Armenia","Mayorista","Prochilodus magdalenae","Eviscerado"
"69","Armenia","Mayorista","Pseudoplatystoma magdaleniatum","Cabeza"
"70","Armenia","Mayorista","Pseudoplatystoma magdaleniatum","Posteado"
"71","Armenia","Mayorista","Salmo salar","Cabeza"
"72","Armenia","Mayorista","Salmo salar","Fileteado"
"73","Armenia","Mayorista","Scomberomorus spp.","Eviscerado"
"74","Armenia","Minorista","Arapaima gigas","Recortes"
"75","Armenia","Minorista","Cynoscion phoxocephalus","Eviscerado"
"76","Armenia","Minorista","Litopenaeus vannamei","Precocido"
"77","Armenia","Minorista","Loligo sp.","Anillos"
"78","Armenia","Minorista","Lutjanidae","Eviscerado"
"79","Armenia","Minorista","Notarius troschelii","Eviscerado"
"80","Armenia","Minorista","Octopus sp.","Descabezado"
"81","Armenia","Minorista","Oncorhynchus mykiss","Cabeza"
"82","Armenia","Minorista","Oncorhynchus mykiss","Eviscerado"
"83","Armenia","Minorista","Oreochromis niloticus","Fileteado"
"84","Armenia","Minorista","Oreochromis spp.","Cabeza"
"85","Armenia","Minorista","Oreochromis spp.","Eviscerado"
"86","Armenia","Minorista","Oreochromis spp.","Fileteado"
"87","Armenia","Minorista","Pangasianodon hypophthalmus","Eviscerado"
"88","Armenia","Minorista","Pangasianodon hypophthalmus","Fileteado"
"89","Armenia","Minorista","Pangasianodon hypophthalmus","Posteado"
"90","Armenia","Minorista","Penaeidae","Precocido"
"91","Armenia","Minorista","Penaeidae","Sin Transformación"
"92","Armenia","Minorista","Piaractus brachypomus","Eviscerado"
"93","Armenia","Minorista","Pimelodus grosskopfii","Eviscerado"
"94","Armenia","Minorista","Prochilodus magdalenae","Eviscerado"
"95","Armenia","Minorista","Pseudoplatystoma magdaleniatum","Cabeza"
"96","Armenia","Minorista","Pseudoplatystoma magdaleniatum","Eviscerado"
"97","Armenia","Minorista","Pseudoplatystoma magdaleniatum","Posteado"
"98","Armenia","Minorista","Pseudoplatystoma tigrinum","Cabeza"
"99","Armenia","Minorista","Pseudoplatystoma tigrinum","Eviscerado"
"100","Armenia","Minorista","Salmo salar","Fileteado"
"101","Armenia","Minorista","Scomberomorus spp.","Eviscerado"
"102","Armenia","Minorista-Al detalle local","Litopenaeus vannamei","Precocido"
"103","Armenia","Minorista-Al detalle local","Oncorhynchus mykiss","Cabeza"
"104","Armenia","Minorista-Al detalle local","Oncorhynchus mykiss","Eviscerado"
"105","Armenia","Minorista-Al detalle local","Oreochromis niloticus","Fileteado"
"106","Armenia","Minorista-Al detalle local","Oreochromis spp.","Cabeza"
"107","Armenia","Minorista-Al detalle local","Oreochromis spp.","Eviscerado"
"108","Armenia","Minorista-Al detalle local","Oreochromis spp.","Recortes"
"109","Armenia","Minorista-Al detalle local","Pangasianodon hypophthalmus","Fileteado"
"110","Armenia","Minorista-Al detalle local","Pangasianodon hypophthalmus","Posteado"
"111","Armenia","Minorista-Al detalle local","Prochilodus magdalenae","Eviscerado"
"112","Armenia","Minorista-Al detalle local","Salmo salar","Fileteado"
"113","Armenia","Supermercado","Arapaima gigas","Recortes"
"114","Armenia","Supermercado","Brotula clarkae","Fileteado"
"115","Armenia","Supermercado","Centropomus spp.","Eviscerado"
"116","Armenia","Supermercado","Centropomus spp.","Fileteado"
"117","Armenia","Supermercado","Centropomus undecimalis","Eviscerado"
"118","Armenia","Supermercado","Centropomus undecimalis","Fileteado"
"119","Armenia","Supermercado","Litopenaeus vannamei","Precocido"
"120","Armenia","Supermercado","Lolliguncula diomedeae","Anillos"
"121","Armenia","Supermercado","Loligo sp.","Anillos"
"122","Armenia","Supermercado","Merluccius sp.","Fileteado"
"123","Armenia","Supermercado","Mytilus spp.","Sin Transformación"
"124","Armenia","Supermercado","Oncorhynchus mykiss","Cabeza"
"125","Armenia","Supermercado","Oncorhynchus mykiss","Eviscerado"
"126","Armenia","Supermercado","Oncorhynchus mykiss","Fileteado"
"127","Armenia","Supermercado","Oncorhynchus mykiss","Mariposa"
"128","Armenia","Supermercado","Oreochromis mossambicus","Cabeza"
"129","Armenia","Supermercado","Oreochromis mossambicus","Eviscerado"
"130","Armenia","Supermercado","Oreochromis niloticus","Cabeza"
"131","Armenia","Supermercado","Oreochromis niloticus","Fileteado"
"132","Armenia","Supermercado","Oreochromis spp.","Cabeza"
"133","Armenia","Supermercado","Oreochromis spp.","Eviscerado"
"134","Armenia","Supermercado","Oreochromis spp.","Fileteado"
"135","Armenia","Supermercado","Oreochromis spp.","Recortes"
"136","Armenia","Supermercado","Pangasianodon hypophthalmus","Fileteado"
"137","Armenia","Supermercado","Pangasianodon hypophthalmus","Posteado"
"138","Armenia","Supermercado","Penaeidae","Precocido"
"139","Armenia","Supermercado","Piaractus brachypomus","Cabeza"
"140","Armenia","Supermercado","Piaractus brachypomus","Eviscerado"
"141","Armenia","Supermercado","Prochilodus lineatus","Eviscerado"
"142","Armenia","Supermercado","Prochilodus magdalenae","Eviscerado"
"143","Armenia","Supermercado","Pseudoplatystoma magdaleniatum","Posteado"
"144","Armenia","Supermercado","Salmo salar","Fileteado"
"145","Armenia","Supermercado","Salmo salar","Trozos"
"146","Armenia","Supermercado","Thunnus sp.","Fileteado"
"147","Barrancabermeja","Mayorista","Ageneiosus pardalis","Eviscerado"
"148","Barrancabermeja","Mayorista","Brycon moorei","Eviscerado"
"149","Barrancabermeja","Mayorista","Colossoma macropomum","Eviscerado"
"150","Barrancabermeja","Mayorista","Imparfinis usmai","Eviscerado"
"151","Barrancabermeja","Mayorista","Megaleporinus muyscorum","Eviscerado"
"152","Barrancabermeja","Mayorista","Oncorhynchus mykiss","Eviscerado"
"153","Barrancabermeja","Mayorista","Oreochromis spp.","Eviscerado"
"154","Barrancabermeja","Mayorista","Penaeus monodon","Precocido"
"155","Barrancabermeja","Mayorista","Piaractus brachypomus","Eviscerado"
"156","Barrancabermeja","Mayorista","Pimelodus blochii","Eviscerado"
"157","Barrancabermeja","Mayorista","Pimelodus grosskopfii","Eviscerado"
"158","Barrancabermeja","Mayorista","Plagioscion magdalenae","Eviscerado"
"159","Barrancabermeja","Mayorista","Prochilodus lineatus","Eviscerado"
"160","Barrancabermeja","Mayorista","Prochilodus magdalenae","Eviscerado"
"161","Barrancabermeja","Mayorista","Pseudoplatystoma magdaleniatum","Eviscerado"
"162","Barrancabermeja","Mayorista","Salminus affinis","Eviscerado"
"163","Barrancabermeja","Mayorista","Salmo salar","Fileteado"
"164","Barrancabermeja","Mayorista","Sorubim cuspicaudus","Eviscerado"
"165","Barrancabermeja","Mayorista","Trachypenaeus byrdi","Precocido"
"166","Barrancabermeja","Mayorista","Triportheus magdalenae","Eviscerado"
"167","Barrancabermeja","Minorista","Ageneiosus pardalis","Eviscerado"
"168","Barrancabermeja","Minorista","Brycon moorei","Eviscerado"
"169","Barrancabermeja","Minorista","Caquetaia kraussii","Eviscerado"
"170","Barrancabermeja","Minorista","Colossoma macropomum","Eviscerado"
"171","Barrancabermeja","Minorista","Curimata mivartii","Eviscerado"
"172","Barrancabermeja","Minorista","Cynopotamus magdalenae","Eviscerado"
"173","Barrancabermeja","Minorista","Cynopotamus magdalenae","Sin Transformación"
"174","Barrancabermeja","Minorista","Hoplias malabaricus","Eviscerado"
"175","Barrancabermeja","Minorista","Hypostomus hondae","Eviscerado"
"176","Barrancabermeja","Minorista","Hypostomus hondae","Mariposa"
"177","Barrancabermeja","Minorista","Imparfinis usmai","Eviscerado"
"178","Barrancabermeja","Minorista","Leiarius marmoratus","Eviscerado"
"179","Barrancabermeja","Minorista","Megaleporinus muyscorum","Eviscerado"
"180","Barrancabermeja","Minorista","Oreochromis mossambicus","Eviscerado"
"181","Barrancabermeja","Minorista","Oreochromis niloticus","Eviscerado"
"182","Barrancabermeja","Minorista","Oreochromis spp.","Eviscerado"
"183","Barrancabermeja","Minorista","Piaractus brachypomus","Eviscerado"
"184","Barrancabermeja","Minorista","Pimelodus albicans","Eviscerado"
"185","Barrancabermeja","Minorista","Pimelodus blochii","Eviscerado"
"186","Barrancabermeja","Minorista","Pimelodus grosskopfii","Eviscerado"
"187","Barrancabermeja","Minorista","Pimelodus grosskopfii","Sin Transformación"
"188","Barrancabermeja","Minorista","Plagioscion magdalenae","Eviscerado"
"189","Barrancabermeja","Minorista","Prochilodus magdalenae","Eviscerado"
"190","Barrancabermeja","Minorista","Pseudoplatystoma magdaleniatum","Eviscerado"
"191","Barrancabermeja","Minorista","Pterygoplichthys undecimalis","Eviscerado"
"192","Barrancabermeja","Minorista","Salminus affinis","Eviscerado"
"193","Barrancabermeja","Minorista","Sorubim cuspicaudus","Eviscerado"
"194","Barrancabermeja","Minorista","Sternopygus aequilabiatus","Eviscerado"
"195","Barrancabermeja","Minorista","Sternopygus spp.","Eviscerado"
"196","Barrancabermeja","Minorista","Triportheus magdalenae","Eviscerado"
"197","Barrancabermeja","Supermercado","Astyanax magdalenae","Precocido"
"198","Barrancabermeja","Supermercado","Bagre pinnimaculatus","Eviscerado"
"199","Barrancabermeja","Supermercado","Bagre pinnimaculatus","Posteado"
"200","Barrancabermeja","Supermercado","Centropomus spp.","Eviscerado"
"201","Barrancabermeja","Supermercado","Centropomus undecimalis","Eviscerado"
"202","Barrancabermeja","Supermercado","Centropomus undecimalis","Fileteado"
"203","Barrancabermeja","Supermercado","Cynoscion albus","Eviscerado"
"204","Barrancabermeja","Supermercado","Cynoscion albus","Fileteado"
"205","Barrancabermeja","Supermercado","Dosidicus gigas","Anillos"
"206","Barrancabermeja","Supermercado","Litopenaeus vannamei","Precocido"
"207","Barrancabermeja","Supermercado","Loligo sp.","Anillos"
"208","Barrancabermeja","Supermercado","Lutjanus peru","Eviscerado"
"209","Barrancabermeja","Supermercado","Lutjanus peru","Fileteado"
"210","Barrancabermeja","Supermercado","Lutjanus spp.","Eviscerado"
"211","Barrancabermeja","Supermercado","Microspathodon bairdii","Fileteado"
"212","Barrancabermeja","Supermercado","Octopus sp.","Descabezado"
"213","Barrancabermeja","Supermercado","Octopus sp.","Recortes"
"214","Barrancabermeja","Supermercado","Oncorhynchus mykiss","Eviscerado"
"215","Barrancabermeja","Supermercado","Oncorhynchus mykiss","Fileteado"
"216","Barrancabermeja","Supermercado","Oncorhynchus mykiss","Mariposa"
"217","Barrancabermeja","Supermercado","Oreochromis mossambicus","Eviscerado"
"218","Barrancabermeja","Supermercado","Oreochromis mossambicus","Fileteado"
"219","Barrancabermeja","Supermercado","Oreochromis niloticus","Eviscerado"
"220","Barrancabermeja","Supermercado","Oreochromis niloticus","Fileteado"
"221","Barrancabermeja","Supermercado","Oreochromis spp.","Eviscerado"
"222","Barrancabermeja","Supermercado","Oreochromis spp.","Fileteado"
"223","Barrancabermeja","Supermercado","Pangasianodon hypophthalmus","Eviscerado"
"224","Barrancabermeja","Supermercado","Pangasianodon hypophthalmus","Fileteado"
"225","Barrancabermeja","Supermercado","Pangasianodon hypophthalmus","Posteado"
"226","Barrancabermeja","Supermercado","Penaeus monodon","Desconchado"
"227","Barrancabermeja","Supermercado","Penaeus monodon","Precocido"
"228","Barrancabermeja","Supermercado","Penaeus schmitti","Desconchado"
"229","Barrancabermeja","Supermercado","Piaractus brachypomus","Eviscerado"
"230","Barrancabermeja","Supermercado","Prochilodus magdalenae","Eviscerado"
"231","Barrancabermeja","Supermercado","Salmo salar","Eviscerado"
"232","Barrancabermeja","Supermercado","Salmo salar","Fileteado"
"233","Barrancabermeja","Supermercado","Scomberomorus spp.","Eviscerado"
"234","Barrancabermeja","Supermercado","Thunnus albacares","Precocido"
"235","Barrancabermeja","Supermercado","Thunnus sp.","Eviscerado"
"236","Barrancabermeja","Supermercado","Trachypenaeus byrdi","Precocido"
"237","Barrancabermeja","Supermercado","Xiphopenaeus kroyeri","Precocido"
"238","Barranquilla","Mayorista","Anodontites sp.","Desconchado"
"239","Barranquilla","Mayorista","Anodontites sp.","Sin Transformación"
"240","Barranquilla","Mayorista","Anomalocardia brasiliana, Donax spp.","Desconchado"
"241","Barranquilla","Mayorista","Ariopsis canteri","Mariposa"
"242","Barranquilla","Mayorista","Callinectes spp.","Despulpado"
"243","Barranquilla","Mayorista","Callinectes spp.","Sin Transformación"
"244","Barranquilla","Mayorista","Caquetaia kraussii","Sin Transformación"
"245","Barranquilla","Mayorista","Caranx bartholomaei","Eviscerado"
"246","Barranquilla","Mayorista","Caranx crysos","Eviscerado"
"247","Barranquilla","Mayorista","Caranx hippos","Eviscerado"
"248","Barranquilla","Mayorista","Caranx hippos","Sin Transformación"
"249","Barranquilla","Mayorista","Caranx ruber","Eviscerado"
"250","Barranquilla","Mayorista","Centropomus nigrescens","Eviscerado"
"251","Barranquilla","Mayorista","Centropomus nigrescens","Fileteado"
"252","Barranquilla","Mayorista","Centropomus undecimalis","Descamado"
"253","Barranquilla","Mayorista","Centropomus undecimalis","Eviscerado"
"254","Barranquilla","Mayorista","Centropomus undecimalis","Fileteado"
"255","Barranquilla","Mayorista","Centropomus undecimalis","Sin Transformación"
"256","Barranquilla","Mayorista","Conodon nobilis","Descamado"
"257","Barranquilla","Mayorista","Conodon nobilis","Eviscerado"
"258","Barranquilla","Mayorista","Coryphaena hippurus","Eviscerado"
"259","Barranquilla","Mayorista","Coryphaena hippurus","Fileteado"
"260","Barranquilla","Mayorista","Coryphaena hippurus","Posteado"
"261","Barranquilla","Mayorista","Cynopotamus magdalenae","Sin Transformación"
"262","Barranquilla","Mayorista","Donax dentifer","Sin Transformación"
"263","Barranquilla","Mayorista","Dosidicus gigas","Anillos"
"264","Barranquilla","Mayorista","Dosidicus gigas","Cabeza"
"265","Barranquilla","Mayorista","Dosidicus gigas","Fileteado"
"266","Barranquilla","Mayorista","Dosidicus gigas","Posteado"
"267","Barranquilla","Mayorista","Dosidicus gigas","Sin Transformación"
"268","Barranquilla","Mayorista","Elagatis bipinnulta","Eviscerado"
"269","Barranquilla","Mayorista","Eugerres plumieri","Descamado"
"270","Barranquilla","Mayorista","Euthynnus alletteratus","Eviscerado"
"271","Barranquilla","Mayorista","Gerres cinereus","Descamado"
"272","Barranquilla","Mayorista","Hepatus pudibundus","Sin Transformación"
"273","Barranquilla","Mayorista","Hoplias malabaricus","Sin Transformación"
"274","Barranquilla","Mayorista","Hypostomus hondae","Sin Transformación"
"275","Barranquilla","Mayorista","Illex argentinus","Anillos"
"276","Barranquilla","Mayorista","Illex argentinus","Cabeza"
"277","Barranquilla","Mayorista","Illex argentinus","Posteado"
"278","Barranquilla","Mayorista","Illex argentinus","Sin Transformación"
"279","Barranquilla","Mayorista","Imparfinis usmai","Sin Transformación"
"280","Barranquilla","Mayorista","Litopenaeus vannamei","Desconchado"
"281","Barranquilla","Mayorista","Litopenaeus vannamei","Sin Transformación"
"282","Barranquilla","Mayorista","Lobotes surinamensis","Descamado"
"283","Barranquilla","Mayorista","Lobotes surinamensis","Eviscerado"
"284","Barranquilla","Mayorista","Lutjanus analis","Descamado"
"285","Barranquilla","Mayorista","Lutjanus analis","Eviscerado"
"286","Barranquilla","Mayorista","Lutjanus synagris","Descamado"
"287","Barranquilla","Mayorista","Lutjanus synagris","Eviscerado"
"288","Barranquilla","Mayorista","Macrodon ancylodon","Eviscerado"
"289","Barranquilla","Mayorista","Macrodon ancylodon","Fileteado"
"290","Barranquilla","Mayorista","Megaleporinus muyscorum","Sin Transformación"
"291","Barranquilla","Mayorista","Megalops atlanticus","Descamado"
"292","Barranquilla","Mayorista","Megalops atlanticus","Posteado"
"293","Barranquilla","Mayorista","Megalops atlanticus","Sin Transformación"
"294","Barranquilla","Mayorista","Melongena melongena","Precocido"
"295","Barranquilla","Mayorista","Melongena melongena","Sin Transformación"
"296","Barranquilla","Mayorista","Merluccius gayi gayi","Fileteado"
"297","Barranquilla","Mayorista","Micropogonias furnieri","Descamado"
"298","Barranquilla","Mayorista","Micropogonias furnieri","Eviscerado"
"299","Barranquilla","Mayorista","Micropogonias furnieri","Fileteado"
"300","Barranquilla","Mayorista","Mugil curema","Despulpado"
"301","Barranquilla","Mayorista","Mugil curema","Mariposa"
"302","Barranquilla","Mayorista","Mugil liza","Descamado"
"303","Barranquilla","Mayorista","Mugil liza","Eviscerado"
"304","Barranquilla","Mayorista","Mugil liza","Sin Transformación"
"305","Barranquilla","Mayorista","Mycteroperca bonaci","Descamado"
"306","Barranquilla","Mayorista","Mycteroperca bonaci","Fileteado"
"307","Barranquilla","Mayorista","Mytilus chilensis","Sin Transformación"
"308","Barranquilla","Mayorista","Mytilus spp.","Sin Transformación"
"309","Barranquilla","Mayorista","Octopus spp.","Sin Transformación"
"310","Barranquilla","Mayorista","Oncorhynchus mykiss","Descamado"
"311","Barranquilla","Mayorista","Oncorhynchus mykiss","Eviscerado"
"312","Barranquilla","Mayorista","Oncorhynchus mykiss","Mariposa"
"313","Barranquilla","Mayorista","Oreochromis niloticus","Descamado"
"314","Barranquilla","Mayorista","Oreochromis niloticus","Sin Transformación"
"315","Barranquilla","Mayorista","Oreochromis spp.","Cabeza"
"316","Barranquilla","Mayorista","Oreochromis spp.","Descamado"
"317","Barranquilla","Mayorista","Oreochromis spp.","Fileteado"
